a    
ṇā    
ṇāṃ    
ṇi    
ṇiṃ    
ṇī    
ṇīṃ    
ṇu    
ṇuṃ    
ṇū    
ṇūṃ    
ṇe    
ṇeṃ    
ṇo    
ṇoṃ    
ṇ    
ta    
taṃ    
tā    
tāṃ    
ti    
tiṃ    
tī    
tīṃ    
tu    
tuṃ    
tū    
tūṃ    
te    
teṃ    
to    
toṃ    
t    
tha    
thaṃ    
thā    
thāṃ    
thi    
thiṃ    
thī    
thīṃ    
thu    
thuṃ    
thū    
thūṃ    
the    
theṃ    
tho    
thoṃ    
th    
da    
daṃ    
dā    
dāṃ    
di    
diṃ    
dī    
dīṃ    
du    
duṃ    
dū    
dūṃ    
de    
deṃ    
do    
doṃ    
d    
dha    
dhaṃ    
dhā    
dhāṃ    
dhi    
dhiṃ    
dhī    
dhīṃ    
dhu    
dhuṃ    
dhū    
dhūṃ    
dhe    
dheṃ    
dho    
dhoṃ    
dh    
na    
naṃ    
nā    
nāṃ    
ni    
niṃ    
nī    
nīṃ    
nu    
nuṃ    
nū    
nūṃ    
ne    
neṃ    
no    
noṃ    
n    
pa    
paṃ    
pā    
pāṃ    
pi    
piṃ    
pī    
pīṃ    
pu    
puṃ    
pū    
pūṃ    
pe    
peṃ    
po    
poṃ    
p    
pha    
phaṃ    
phā    
phāṃ    
phi    
phiṃ    
phī    
phīṃ    
phu    
phuṃ    
phū    
phūṃ    
phe    
pheṃ    
pho    
phoṃ    
ph    
ba    
baṃ    
bā    
bāṃ    
bi    
biṃ    
bī    
bīṃ    
bu    
buṃ    
bū    
būṃ    
be    
beṃ    
bo    
boṃ    
b    
bha    
bhaṃ    
bhā    
bhāṃ    
bhi    
bhiṃ    
bhī    
bhīṃ    
bhu    
bhuṃ    
bhū    
bhūṃ    
bhe    
bheṃ    
bho    
bhoṃ    
bh    
ma    
maṃ    
mā    
māṃ    
mi    
miṃ    
mī    
mīṃ    
mu    
muṃ    
mū    
mūṃ    
me    
meṃ    
mo    
moṃ    
m    
ya    
yaṃ    
yā    
yāṃ    
yi    
yiṃ    
yī    
yīṃ    
yu    
yuṃ    
yū    
yūṃ    
ye    
yeṃ    
yo    
yoṃ    
y    
ra    
raṃ    
rā    
rāṃ    
ri    
riṃ    
rī    
rīṃ    
ru    
ruṃ    
rū    
rūṃ    
re    
reṃ    
ro    
roṃ    
r    
la    
laṃ    
lā    
lāṃ    
li    
liṃ    
lī    
līṃ    
lu    
luṃ    
lū    
lūṃ    
le    
leṃ    
lo    
loṃ    
l    
va    
vaṃ    
vā    
vāṃ    
vi    
viṃ    
vī    
vīṃ    
vu    
vuṃ    
vū    
vūṃ    
ve    
veṃ    
vo    
voṃ    
v    
sa    
saṃ    
sā    
sāṃ    
si    
siṃ    
sī    
sīṃ    
su    
suṃ    
sū    
sūṃ    
se    
seṃ    
so    
soṃ    
s    
ha    
haṃ    
hā    
hāṃ    
hi    
hiṃ    
hī    
hīṃ    
hu    
huṃ    
hū    
hūṃ    
he    
heṃ    
ho    
hoṃ    
h    
ḷa    
ḷaṃ    
ḷā    
ḷāṃ    
ḷi    
ḷiṃ    
ḷī    
ḷīṃ    
ḷu    
ḷuṃ    
ḷū    
ḷūṃ    
ḷe    
ḷeṃ    
ḷo    
ḷoṃ    
ḷ    
ṃ    
yoṃmiṃdīṃcodīṃvoḍhūḷāṃ    
jhūṃṇīṃno    
ḷīkalīṃḷeṃphiṃ    
yoṃrḷūṃkā    
thīseṃphūṃdakhecāṃḍh    
ḷuṃpāṃmā    
huṃtūṃbūg    
voṃyāṃṭā    
ghoṃchiṃḍuṃbūṃnīṃ    
cīṃloṃrāṃbhili    
nūchivuvuṃkhoṃrūṅūṃ    
richiḷoṃṇoṃpubeyūṃ    
bhabūṃ    
veṃci    
thoñephāṇīṃrīṃ    
yāmāṃsoṃjhethipoñjhura    
cāṃkhiṃnū    
neṃsuṃchiṃsūkhivūṃphī    
naṃhī    
ghoṃphiṃdeṃchunī    
khaṃjhiṃbihuṃḷuṃṭheṃthijhite    
koṃjhitīroṃnāṃgu    
ḍiseghībaṃniṃrīphuṃdeṃ    
cānaṃ    
ḷodekhā    
redepiṃ    
hkhūtoṃṅāṃyeṃpāṃ    
diphāḷejhkhāṃṇī    
chākhīṃchūṅaḍhe    
ūṃṭhoyoṃcesaṃ    
ḷeuṃpuṃjhāṃhodhīmīṃñeḍoṃḷaṃ    
ḷajīṃghīvuṃṅoṃvaṃthmot    
ḷūṃkāpheṃgha    
tīdhā    
ñijamo    
nāṃdīṃ    
ṭieṃgiloṃbīṃvīpu    
jeṃṇūcu    
tāṃpañuṃṭhāṃjaṃḷeṃnāaṃḷī    
ṅāṃmīṃgaṃciṃkhaṃgūṃbhāgīrūṃpāṃ    
jaruṃliṃḍheṃvoṃyīṃ    
ṭimūḍhaṃpiṃḷoṃ    
ganuṃḷūleṃtheṃghuṃaṃ    
phāṭhuluṃñemoṃthā    
thothiṅīṃnoṃdiñījiyīṇāṃ    
ṭācīghpeṃceṃthūṃtomuṇoṃgī    
gliṃduṃbāpā    
ḷeghaṃghajhīneṃ    
jīṃjeīṃḍhejherūṃrāthu    
cehālaṃvuṇīreṃṭeṃdāṃñaṃḍo    
ḍoṃpodheṃsūṃ    
jhoṃphīṃṭiṃṇīyiṃchāṃvthālīhi    
tīñoci    
niṃdhīṃvoṃ    
bhyaggīṃ    
padeṃyoṃluchoṃṭhudhuṃ    
khethūḷeṃṅiṃṇokhāṅaṃ    
kiñkāṃthaṃdoṃliṃchīṃgoṅāṃmuṃ    
bhochṅeṃghāṅdhaṃbhariṃchuṃ    
kujhiṇṭeṃna    
yācīgīṃghuthiṃ    
ṭhībeṇaṃkhodhiṃkīmūṭīṃ    
biṃṇiṃthrūḍvoḍu    
dhābheṃchesīṃdhiḷūṃkeṃdāṅiṃ    
ḍhūḍhāṃsīṃkopāñāṃḷoṃluṇap    
kevaṃbaṃṭāyoṃsthā    
toṭhe    
thāṃṭhūṃjhūrīṃ    
bhaḍīthūṃḍhakhuṭaṃsāṃmū    
rāchorūdīḍhoṃbhubeṃ    
khācaṃkīṃvāpuṃcho    
pāmesekuṃdathūju    
dīṃdeni    
hosīṃphūḷūṃbāṃphīṃnūṃkha    
pūseñūgūyaṃvokhu    
sumo    
ḍilūṃchū    
dūṃchi    
ṇoṃboṃṇoṅīūṃḍheṃṇī    
jaṃvohūṃṅāleṃḍiṃviṃdhosov    
ṅūpugāno    
ñūṃñīṃgāṃphodeḍhaṃṇi    
ṭaṅī    
salepābūhāṃ    
suūṃ    
ghuṃthīṃṇīṃṭithaneṃñijheṃñī    
choghāṃṅaḷijeṃḍi    
ḍhīītheṃjaḍaṃphekhājo    
chiṃdaṅūnāṃhūṃcām    
ṭūṃkeyiṅeburiṃjū    
hephibhūtāṃbhiphīṃbāṃguṃ    
lūghāṃḷuṃchīṃhaṃrāṃ    
kungāthīchisi    
haṭhaṭū    
ṭuṃejichcaṃjhāṃṇuḍhiṃuñīṃ    
sīṃtheṃrekhaṃugaṃkhayiṃ    
ḍuṃchuchūghiṃkhuṃ    
bhāṃdikuṃḍāṃyuṃghāṃṭhūṃmī    
khoṭīṃneha    
bhoṃtoyūṃjijobudiphuṃ    
vecaṃ    
dūhituṃghāyaṃghaṅuḍheṃth    
ṭheṃniṃtopītheṃmītāḷāphaṇiṃ    
gapiṃ    
ḍeḷilīṭhacakūṃḍaṃghechā    
duṃḍhījochūjhechuṇitiṃṅīṃre    
cībhī    
ṅemocucaṃcheṃbūṃmāṃ    
jhdhoṃbiṃyeṃjū    
jeṃtīthaṃjāḍidhiṃkhoṃgīṃtuṃ    
phuḍhūa    
suyuṃmuṃchīchjaṃciṃ    
laṃchaṃvoṃtīṃ    
khoṃghīṃ    
thāṃṇoṃhopeṃchuṃpñūṃ    
yaṃṅaṃthukhījhiṃsoṃtuṃyābū    
daṃtī    
ṇdouṃnāṃlūpiñaṭāṃve    
ahoṃrūbhiṃcū    
ṭiṭhjuṃṇoṃvū    
khoṃbughagosā    
gomeutheparūkiv    
kūṃṭoṃeūtheṃviboṃthugīḍhūṃ    
jhñīṃ    
bhejhuṃīṃsuṃ    
tibheṃbhadhu    
ghaṃḍūṇi    
abaṃjhūthī    
kaṃcheṃṇi    
thoṃṭcaū    
buṃḍūyiṃḍiṃjejāṃnuṃ    
ḷīṃḍhapiṃdīnajheḍhāñīmiñiṃ    
tuīyakheṃbūṃ    
teṃghaṃghaṇūkheīṃ    
ḍhaṃbūṃ    
chaṃbiṃ    
lbhiḍhahakāṃkuṃmūkūṃgeṃ    
chuṃchāḍi    
cukhīṃṭiṇūṃñathiṃ    
jivikū    
lākhaṃ    
moghosaṭu    
gethathāṃ    
khuichīlaṃyiṃmūḍeṃḍā    
ūnoṃbhechduṃṭepu    
pomoṅibhaṃvājuṃciloḍhi    
giḷaji    
bhuchūthalīphiṇoṃṇuṃṇupī    
ruṃḍhaṃdhoṃthoṃdhidiṃ    
ḍāḍhobhaṃṭhaacibhūṃ    
thāṃñūḍhaṃṭūṃ    
khūsūtīṃṭarūyachiṃṅñiṃphūṃ    
mājhaviṃphātho    
laṃnoṃrāṃ    
bhīṃkīmiṃriṃba    
highoṃ    
coveṭu    
kujibūṃvoṅojoṃḍeṃ    
siṃlīṃñojoṃbāṇela    
ṅatuṃjhjīṇūṃbhjhūṃkhī    
thikhāṃṭhatheṃliṃgthāḍedheṃro    
rāṭhāṃphiṃṭhaṃḍīṃ    
raṃṅoṃḍhuṃduḷeṃpagiṃṭhā    
gācuṃjhīṃhuṃpiṃhāpuṃ    
koghuṃkha    
yūlaṃgīṃneṃḍhāhumerāṃ    
roṃphoṃsogeṃneṃḍithīḍhājeṅe    
ḍesiñūḍidīṃṇiṅoḍha    
pāṃmaṃḍhīno    
vīṃāṃphaṃḍuṃjhūlpjāṃ    
ṭuṃrouṃthghimuṃ    
hejñovithubaṃkhīṃho    
ṭeṃyīṃmutiṃkeṅeṃphīḷo    
noḍoṃdhūmaṃtīṃthūṃjī    
nīṅiva    
ṭheṃduphītāguṃbhuṃṅocīṃseṃ    
neṃsekhūvībhoḍhoṃṅeṃṅu    
ṭūṃcuṃcemīṃyaṃ    
ṇaṃyīṃlīṭunuṇevo    
seṭhiṃphūdo    
thaḍhutaṃ    
ghīdūṃṇāṭoṃñūḍheṃkāṃḍhghū    
būṃñīṃgūṃbeṭhoṃ    
tera    
miṭakoṃluñākhīṃ    
ṭajhaghuṃ    
rāṃvuṇḍheṃ    
ṭūdeṃvuhojughe    
kūḍethūghaṃgūṃjhulātu    
daliṃṭhiphoṃ    
ṅūṃkoṃḍīto    
ruṃdhāṃkijāṇithiṃiṃpṅāṃjiṃ    
thāṃṭā    
theiḍhomuhigikuṃ    
nḷīṃjhikige    
ṅiṃcatoṃtāṃṇaṃjhaṃñāchaṃ    
nīṃba    
cāṃeṃthāṃ    
ṅiṭābejhīṇaḍūṃseṃḍeṃ    
keheṃḍhaṃḍūṃjuteḷābhiṃpheṃkhāṃ    
ḷojhibāṭū    
ḍhaṃbeṭheyiṃjīṃtṭhadhūraṃṇāṃ    
kāṃkīṃṭāṃ    
johuṃcepicāreṃgebotoṃ    
hūṇāḍhāruṭāṃ    
dhāṃguḍeteṃba    
jībīṃsakūṃpeṃphuṃ    
topūeboḍhāṃko    
ñīḷeṃ    
ñaṃjhekoṃsomaṇūpiṃsūṃ    
riṃcibiṃbitibhāṃghuṃ    
ḍhaṃcoṃ    
bhāṃḷomejhoṃṭhaṃthīsoṃjecīṃbā    
hāṃḍelāgevūṃcūṃtī    
boṃḍaṃvīṃjaṭuṭadhāṃñūkaṃ    
vāṃmoṃleṇīṭeṃñūṃsḷicāpuṃ    
ḷūṃṭ    
taūṃbhkhūleṃjhiṃ    
bughuṃgeṃ    
rūṃbhoṃḍhiheṃmeṃceṃ    
jhūṃñāsāṃyeṃṇoṃkthuṃṅesīu    
bhuṃbhākājuṃbhoṃñeṃdtūṃḍhū    
khubhāṃṭūyoṇoṃcāda    
lūṃsākho    
cojhāūṭulaṃṭo    
lūṭhṭhuṃ    
dhāṃḷoṃguṃṭhoṃjhāmā    
dhoṃpiṃrekhūṃghiṃjaṃkūṃḷuṃṭhīṃyi    
rīpīhesūṃcāghajhoṃtaṃgāṃṅā    
ḍhocoṭiṃh    
vūṃcāḍhuṃriṃ    
ṅacaṃṇīphīṃbhaghi    
muṃjho    
ḷīḍūṃvuṃduṃbhāthpīṃyeṃḷu    
bhūjhacunbhiṅiso    
yīṃseṃ    
ṭhīṃphīṇītīṃjiṇaṃḷūṃṅābuyi    
ṭukiñāṃ    
choṃmaṃjiṭhiḍhbhīyuṃṇ    
cīṇgāṭhoṃḷu    
ghkhaṃkūḍhethāvaṃjokuṃḍi    
ḷesokhuṃlūṃ    
suṅiṃñeṃhusiṃ    
vūḍhi    
chuṃdocīṃkañā    
ṭhadheṃṅuṃleṃpīchūjhoṃdhīṃ    
vuḷabūruṇāṃyīṃbhaṃ    
ḷijoñemiḍhiṃkhipo    
neṃdūṃchāṃ    
phūṃchobhīnḷūṃḍamīcūṃchiṃchuṃ    
deṃthekhahāṃṇākūṃḍe    
dhāṃkūṃkiṃḍhuṃdhūṃṅugiṃchaḍā    
bhāṃṭhiṃrūṃcobhāṃḷāṃ    
eṃkhikā    
ṭhbheṃpābhochūṭhī    
ceṃcūṃ    
thyaṃgū    
cāṃbaṃ    
ḍachuṃ    
ḷūrānevīcuṃphlaṃ    
ṇoṃruṭh    
ṭhñiṃciṃjhoḍāphūṭhāyaṃḷiṃāṃ    
ṭheci    
bhāgīdajhāūṃne    
ṭhatheṃdeghābhedīthuṃthāṃvo    
ṭhāraṃdhuḍāyāṃsāṃviṃña    
oḍhīphūṃḷīnūja    
nīhebheṃpceṃyeṃmāgo    
ṅeṃpiṃghiṃrujkhuṃjhī    
dūdhūṃcasoṃcaṃpūṃḷaṃtdho    
phidiṃhaṃvakū    
deṃmiṃchoṃthaṃdikṇūṃṭhāṃejheṃ    
pūṭhīṃcīṅīṃnāṃbayāṃphī    
ḍhīo    
iṃchūjhoṃṅībuṭe    
phiṃjhūṃdhe    
jeṃtū    
māṃjhāṃtūṃghaṃyeṃsāṃvāṃhañu    
ḍuṃchoṃ    
ceha    
thoṃcuṃchuṃjhuṃjīvuṃ    
uyīṃnīṃḍoṃkcāṃsupeṃ    
sethaṃṅeḷīnuṃgūṃphuṃkhiṃ    
ṅīṃbheṇūṃjhūṃṭthugapūṃphūṃbeṃ    
naṃṇeeṃnaṃ    
yiṃgeṃjothā    
hitadha    
sīneṃka    
lḍhiṃtṅiṃṭhīṃkhghojhīṃbeṃḍhuṃ    
tuceṃṭeṅuṃṇaṃ    
duṃnurāṃḷoḍeṃ    
puchaṃjeṃvūiḍhu    
khaṃbayūjhuṃyaṃḍhogīseṃṇiṃkhuṃ    
ciliṃ    
jhiṃchiṃgoṃṇīghuṃ    
ṭaṃkeṃḍhīṃgāṃnā    
lovaṭheṃbuaṃcijoṃbā    
sādūbūṃṭedīgiṃda    
ñechṭoyāmāḷīṃphiṃviṃ    
mādhūṭbholaṃphrūṭhīṃkhadhāṃ    
ṭhaphaṃḷuṃsiṃṅāṃmaṭhaṃ    
ḍāṃgedhaṃṭhaṃyañaṃge    
jīsūṃgevubīrākaḍhaphi    
sokhālūva    
tīṃthaṃliṃṭhepūjīḍhupaānīṃ    
cāchuṃdoṃḍhobhīṃrūṃdhiṃḍhehi    
ḷāṃtheṃpaṃduṃjāyoṃraṃ    
yathaṃghīṃkhe    
sūsiṇadhoṃyeṃjheguṃjhāphe    
ṅūchḍhemi    
ñūṃoṃjheṃthuṃdaṃ    
varouṃphecīṃraṃcañuchū    
bhaguṭhupāṃthuṃjhīṃchomīṃṅaṃreṃ    
jhucoṃṇuṃñūṃyiṃ    
māchīdheṃthuṃūkūṃkhīṃḍhīṃsaṃnīṃ    
sīṃhūṇāṃṭoḍhu    
khighaṃ    
kiyathiṭhuṃbāṃḍoṃdhuṃpathṭhā    
mīṃroṃṭāṃṇīṃ    
ghidoṭodhūṇārñeṅaṃ    
siṃḍhorirkaṃcāṃbhaṃ    
ṭhūhaḷabaṃchiṃriṃdheṇaḍhīvīṃ    
chīṃbaṃkhūnīṃḷūṃnaṃ    
duṃbīthīṃtī    
ṇīṭhāṃ    
mohmimtoṃṅpoṃ    
ṇīḍaṃtiṃkevoṃbhumaṃghūṃeṃ    
mūṃsūḷireriṃruchoṃbeṃnūe    
vābhoteñoṃ    
kunephepiṃṭhuṃṭha    
lānāchīṃtīṃdīṃḍi    
hāṃṭheṃṇūchephūḍhuṃbehaghūṃ    
daṃyaṃdiṃpāḍheṃdhāpāṃḷuṃbeṭheṃ    
ghīḍhoṃṭhīṃdḍūṃṭhāṃghāṃchūṃ    
ṭāphīṃñuṃyuṃkhuiṃḍū    
raviṃyīgītābh    
siḍīkaṃdhāteṃrūugyoṃ    
gāṃpūṃjkhīdhuṃbīṃthūdhuṃlūṇuṃ    
deḍhuṅūghaṃṅuṃrīdhiṃdheṃ    
phojhāṃḷudhḍhoṃbeṃcū    
ñaṃphūṃjukhīṃñīṃlīṃdaṃycoṃ    
huṅīṃchūgoṃ    
līṃṇāṭiṃiḍhāthāṅeṃjaṃyoṃphaṃ    
nīṃletoṃteṃmāṃoṅuṃ    
laṃjuṃnīī    
cphūthīṃkūṃ    
thgībhoṃṭādūṃtarīṃloṅū    
cīvacūṭaṃloṃ    
ḍāṃcehiḷoṃkī    
īcūboḷokeñāṃ    
buṃmiṃyiṃghaṃthaṃ    
ṅeṃhaṃ    
cījhūvī    
theṭūṃkhi    
yekuṭachghiṃroṃsiṃth    
ṭhaṃmāruṃrāṃ    
dhūgeṃbhaṃḍamaphuchibātū    
iṃpe    
yeṃkha    
ghīṃḷucāāṃḷājāṃdhiṃ    
loṃdhaṇaṃhūrdhatṭeṃṇīkaṃ    
ḍnuphāḷāṃghiṃrāṃneṃ    
iruṃjūṃḍhujāṃgāṃphache    
puyvāṭuthīṃyūṃthaca    
juṃlaṃsu    
puṃcīkhucankāṃṇāṃ    
ṭīteṃ    
khoniṃghūcoṃlīṃca    
bhiṃbāṃpīghoṃ    
vuyeṃṅāṃ    
veṃdūṃmūṃyeḍiṃcaṃkhīṭha    
mīṃmiṃdhūṃnthorūṃhiṃ    
vūkīṃuṃḍaṃphādhāluṃhi    
suṃvūbhīṃchīñacha    
niṃdū    
ṅeṃvethmuṃghūṃḍiṃdaṃ    
hguṃīdhḍhūhā    
viṅūguṃchūṃthūṃchethiṃḍhī    
būṃḍuṃ    
diṃḍheṃūṃḷāghe    
raṃṭejeṃloḷeghaṃivuṃ    
thuṃñūṃṇayighukuṃṇājūṃḍhe    
ṇīpaṃphaūṭi    
phuṃghūguḍūṃpeḷūṃnejhṅūjeṃ    
taṃīṅoḷīchīpaṭhḷūṃgeṃbu    
jhaṃḍgicādoṃthaṃphiṃghuṃṅāṭaṃ    
veṃñāṃḷīṃveṃṇoṃcathophoṅaṃnūṃ    
ghehjiṃjṇūṃjaaṃjhaṃoṃ    
juṃmaṃlīṃ    
ñuṇūṃḍogenūkāgūṃ    
duguṃluṃḷoṃñuṃṅā    
ḍhoṃḍoṃdīṃ    
ḍījhighāṃ    
ñakuḍhiṃghīṃlñābaṃpidaṃgha    
ṅubiṃghaṃ    
thīṃdhūmadoṃḍuṃgheṃ    
ṇūṃsīṃroṃkhāṃd    
baṇīṇaṃḍiciṃthogokhiciṃ    
chūjūlīṇiñuṃloṃgiḷuṃtū    
rūṃkaṃbaṃpiṃ    
būyavūṃdeṃteṃjhuyobhā    
hākhepoṃraḷaṃṅuāṃtṭā    
thīṃñiṃdaṃphukheṃdhūṃri    
dujāheṃphamāṃyephoṃṇūṃbheṃ    
tīṃphunāṃ    
thīṃheṃthachoṃchaṃ    
uṭāñūṃ    
phoāṃgḍa    
gūyoṃ    
phuḍhājītasūjhāṃñīṃlaṃghātu    
yaṃupūkhegeṃ    
dhāṃṅureṃṭhūdāreṃchīṃsīṃ    
ḷāmaphojhñāpāṃḍāṃ    
acāṅīkukichoṃ    
ṭoṃṅaṃtsīthuṃñikisīṃānā    
haḷadhīṃghīdhika    
jhūñadiṃṅiṃrācī    
ṭhoṃtāpuṃvuṃhiṃbhīdasuṃ    
ūṃḍāñojhṭhñosoṃruphūṃphe    
bāḍhaṃsolūdheṃghīṃṇoṃbhuṃ    
ṭhācūñoñūṃṅaghūṃraṃṭhūṃoko    
kiṃīṃkedebhāṃjīṃbṅūhūṃ    
beṇūghīṃṇu    
mojheṃyoṃjuṃyīḷūṃ    
raṃkhiṃāṃghjiṃtūṃ    
yūṃnoyphuṃphūṃṭhīṃ    
ghuṭīḍīṃñiṃ    
deṃpiṃbculaṃkheṃṅoj    
bhaṃchonāṃchoūṃtī    
pjidhasiṇaṃyūṃsarūṃ    
moṃṭhuṃdhīṃcaṃ    
hīḍuṃhāṃuṃḍoṃvoṃgā    
ṅākhikhuṃcheṃhukhūḍaṃcoḍhe    
lnuṇugāṃriṃḍañeṃ    
bhāṃvāṃvakhāṃbādhīkhhāṃ    
ripoṃchiṃdhedhīṃpuyāgā    
rechīlāruḍhūṃguṃ    
bubīṃduṅ    
dhāṃdiphepoṅeṃcoṃḷūṃgaṭha    
ghoṃijhoṃdethoṃ    
khiṃjhuṃhoṃ    
aṃñudāṃguvovūṃḍhuṃ    
boṃḷūloṃthīmiṃsījāge    
soḍūṃḍhūyīāgho    
khuṃrothūloṃ    
gopiḍoṃdhuṃtūlaṃ    
adhiṃbhoṃ    
miṃchāṃṭhaṃ    
nāṃnīṃchṭhu    
ḍhiphoṃghīleṃ    
loṃḷoṃṅecūkakhaṃ    
dūcnāṭī    
sejeṃkhiṃḷīgūṃ    
caghūṃphidhāṃpamīṃbhīṇadhoṃṅāṃ    
ghīḍotoṃdakhinūṃ    
gayīṃdīphovoṃceṃibhokaṃ    
phūḷā    
ṭiñūṃbhehiṃ    
lajheṭoṃḍiṇāṃdṇaṃc    
rīv    
paṃchāvīñāṃṭhotaṃcheṇuṃd    
bhīdhimiṃneroṃchaṃyūṃphaṃduṃ    
chāṃñtiṃpheṭiḷiṃcheṃphcu    
dūcūjāraṭāgāḍhoīṃṭoṃṇi    
ṭhuṃbeṇepeṃloṃyuṃ    
ṭhayāṃjothājogipīṃñābe    
hoḍīṃjiṃ    
jhaṃpāṃñuṃthoṭāhāṃ    
bhomāṃyāṃ    
gīñiṃruṃnāṃ    
ṅeṃḍīṭaḍāṃpo    
ṅūka    
jikūhīṃc    
gukhuṃṅigtheṃliṃtheṃnaṃkaṃṇuṃ    
ṅuṃmoṃyeṃ    
bāṃṅūṃtuṃchūṃroceṃlo    
jhaṃnaṃcimūṃjūṭhūthabhūṃṭūṃviṃ    
bhāthūṃliṃsa    
ñīṃluṃboṭhāciṃrumāṃṭṭeṭaṃ    
khūdaboṭhaṃbhchūgāṃ    
teṃṭūkhūṃjhāṃchuthabolāṃjhāṃ    
kheṅiṃreṃjūdha    
ḷiṇoteyaḍhuroriḍsubu    
cūṃneṃthiṃdhutū    
ḷāḍidoṃcheṃdhīṃ    
laṃṇīḷāṃtaṃsu    
ṅorāṃy    
yūṭheṃjhāṃbeṃñaṃḍhūṃpoṃthiṃpūṃṭū    
khūṃthāṃchubheṃroṃdhaṃ    
luṃliaṃphīṭhoḷīpūñūṃ    
ṭovūṃghoṃbhevāṃ    
cheraṃghūñiṃmeghuṃthuṃ    
kūṃdhaṃchoḷīmuhābhebhāṃ    
hūhūṃhoghiṃḷo    
khiḷiṃḷiṃ    
nuṃteṃdhonūṃ    
jhuṃḍiṃnithūyiṃ    
ṭaghahīṃgīṅaṃḷoṃ    
ṭhubīṃnuṃrāḍhjhesuṃpūṃjeṃ    
ghūṃuṃbuṅāṃdāṃḍhiḍhaṃ    
ñiṃpūṭugha    
vuṃlonūrūṃīṃoṃ    
jheṃcādhojoṃphuyīkoṃñāṃbaṃ    
ebīṇūthaṃkhoḍhaṃmeṃphethīṃ    
deṃbeṃṭhatūjhāṃdiṃḍeṃ    
yoṃjīpjheṃ    
thīṃdijhiṃbhūṃnūīñopūṃ    
noṃpapiṃoṃyeṃḍheṃ    
ṅaṇḷeṃñopuṃnilvoṅoṃ    
tuṃviṃḍāḷumiṃku    
yidī    
tusveūṃciḷukhākhboṃ    
jiṃbhīṃhṇāpmīphāhoṃkhāṃ    
phāṃṭhīṃdeṃgutoḍhujuṃthāludhū    
chūṃjudhaṭiṃc    
ḷaṃghūphadāṃyaṃṅ    
jmasiṃsoṃ    
ḷoṃṭhicoṃbhaṃ    
cūghāṭhāṃyiṃtobheb    
