1	१
Brahmadatto	ब्रह्मदत्तो
Brahmajālādicatuttiṃsasuttasaṅgaho	ब्रह्मजालादिचतुत्तिंससुत्तसङ्गहो
Brāhmaṇa	ब्राह्मण
Brāhmaṇo	ब्राह्मणो
Buddhassa	बुद्धस्स
Buddho	बुद्धो
Buddhoti	बुद्धोति
Buddhānañhi	बुद्धानञ्हि
Bāhirakadānañhi	बाहिरकदानञ्हि
Bāvīsatindriyāni	बावीसतिन्द्रियानि
Bāḷhā	बाळ्हा
Cajato	चजतो
Cakkavāḷasahassehi	चक्कवाळसहस्सेहि
Calatā	चलता
Campakaṃ	चम्पकं
Candasūriyatārakarūpadevatuyyānavimānakapparukkhānaṃ	चन्दसूरियतारकरूपदेवतुय्यानविमानकप्परुक्खानं
Caranti	चरन्ति
Cattāri	चत्तारि
Cattāro	चत्तारो
Cattārome	चत्तारोमे
Catunahutādhikadviyojanasatasahassabahalā	चतुनहुताधिकद्वियोजनसतसहस्सबहला
Caturo	चतुरो
Caturāsīti	चतुरासीति
Catutthe	चतुत्थे
Catuttiṃseva	चतुत्तिंसेव
Catūhi	चतूहि
Caṅkamanassa	चङ्कमनस्स
Caṅkamaṃ	चङ्कमं
Cha	छ
Chanahutādhikanavayojanasatasahassabahalo	छनहुताधिकनवयोजनसतसहस्सबहलो
Chavito	छवितो
Chaḍḍayitvāna	छड्डयित्वान
Cittapariyādānasuttādinavasuttasahassapañcasatasattapaññāsasuttasaṅgaho	चित्तपरियादानसुत्तादिनवसुत्तसहस्सपञ्चसतसत्तपञ्ञाससुत्तसङ्गहो
Cittasamuṭṭhānā	चित्तसमुट्ठाना
Cittassa	चित्तस्स
Cittavibhatti	चित्तविभत्ति
Citto	चित्तो
Cittuppādakaṇḍa	चित्तुप्पादकण्ड
Cittuppādakaṇḍo	चित्तुप्पादकण्डो
Cutī	चुती
Cūḷavedallamahāvedallasammādiṭṭhisakkapañhasaṅkhārabhājanīyamahāpuṇṇamasuttādayo	चूळवेदल्लमहावेदल्लसम्मादिट्ठिसक्कपञ्हसङ्खारभाजनीयमहापुण्णमसुत्तादयो
Dabbasambhāre	दब्बसम्भारे
Dadāhi	ददाहि
Dasahi	दसहि
Dasasahassilokamhi	दससहस्सिलोकम्हि
Dasasahassī	दससहस्सी
Dasavidho	दसविधो
Dasavīsasahassānaṃ	दसवीससहस्सानं
Dassanaṃ	दस्सनं
Dayāya	दयाय
Daḷhaṃ	दळ्हं
Desanā	देसना
Desanānidānaṃ	देसनानिदानं
Desanāsāsanakathābhedaṃ	देसनासासनकथाभेदं
Devatā	देवता
Devatāsaṃyuttādivasena	देवतासंयुत्तादिवसेन
Devā	देवा
Dhammahadayavibhaṅgo	धम्महदयविभङ्गो
Dhammanāvaṃ	धम्मनावं
Dhammapadabhāṇakā	धम्मपदभाणका
Dhammapadaṃ	धम्मपदं
Dhammappaṭiggāhakā	धम्मप्पटिग्गाहका
Dhammasaṅgaṇīaṭṭhakathā	धम्मसङ्गणीअट्ठकथा
Dhammasaṅgaṇīādīni	धम्मसङ्गणीआदीनि
Dhammasenāpatisāriputtattherappabhavā	धम्मसेनापतिसारिपुत्तत्थेरप्पभवा
Dhammasenāpatisāriputtattheropi	धम्मसेनापतिसारिपुत्तत्थेरोपि
Dhammatejena	धम्मतेजेन
Dhammaṃ	धम्मं
Dhamme	धम्मे
Dhammo	धम्मो
Dhammātirekadhammavisesaṭṭhena	धम्मातिरेकधम्मविसेसट्ठेन
Dhunanto	धुनन्तो
Dibbasaṅgītivattanakālo	दिब्बसङ्गीतिवत्तनकालो
Dibbaṃ	दिब्बं
Disodisaṃ	दिसोदिसं
Divā	दिवा
Diyaḍḍhasatasuttantā	दियड्ढसतसुत्तन्ता
Duggahitattā	दुग्गहितत्ता
Dukasataṃ	दुकसतं
Dukatikañceva	दुकतिकञ्चेव
Duke	दुके
Dukkho	दुक्खो
Dutiye	दुतिये
Dutiyābhisamaye	दुतियाभिसमये
Dvepi	द्वेपि
Dvādasaguṇamupāgata	द्वादसगुणमुपागत
Dvādasapadikaṃ	द्वादसपदिकं
Dvādasaterasayojanappamāṇaṃ	द्वादसतेरसयोजनप्पमाणं
Dvādasaterasayojanappamāṇo	द्वादसतेरसयोजनप्पमाणो
Dvādasāyatanāni	द्वादसायतनानि
Dvāsaṭṭhi	द्वासट्ठि
Dvāsīti	द्वासीति
Dvāvīsatitike	द्वावीसतितिके
Dānapāramitaṃ	दानपारमितं
Dānena	दानेन
Dīghappamāṇānaṃ	दीघप्पमाणानं
Dīpaṅkarassa	दीपङ्करस्स
Dīpaṅkaraṃ	दीपङ्करं
Dīpaṅkaro	दीपङ्करो
Ekadvinnaṃ	एकद्विन्नं
Ekamekasmiñcettha	एकमेकस्मिञ्चेत्थ
Ekantena	एकन्तेन
Ekarājajātake	एकराजजातके
Ekaṃ	एकं
Ekekaaṅgātirekavasena	एकेकअङ्गातिरेकवसेन
Ekuttariyaṃ	एकुत्तरियं
Esa	एस
Eso	एसो
Esānisaṃso	एसानिसंसो
Ettakaṃ	एत्तकं
Ettakesu	एत्तकेसु
Ettako	एत्तको
Ettakāyeva	एत्तकायेव
Ettha	एत्थ
Ettāvatā	एत्तावता
Evamassa	एवमस्स
Evametaṃ	एवमेतं
Evametesu	एवमेतेसु
Evameva	एवमेव
Evamevāhaṃ	एवमेवाहं
Evampi	एवम्पि
Evamādīni	एवमादीनि
Evaṃ	एवं
Evāhaṃ	एवाहं
Gahakāraka	गहकारक
Gahakāraṃ	गहकारं
Gahetabbaṃ	गहेतब्बं
Gambhīraṃ	गम्भीरं
Ganthārambhakathā	गन्थारम्भकथा
Gavapānanti	गवपानन्ति
Ghaṭānekasahassāni	घटानेकसहस्सानि
Gāmavāsī	गामवासी
Gāmaṇḍalā	गामण्डला
Gāthābandhesu	गाथाबन्धेसु
Handa	हन्द
Hatthisaddaṃ	हत्थिसद्दं
Haṭṭhatuṭṭhena	हट्ठतुट्ठेन
Heṭṭhā	हेट्ठा
Himavantassāvidūre	हिमवन्तस्साविदूरे
Icchamāno	इच्छमानो
Idaṃ	इदं
Idha	इध
Idāni	इदानि
Imasmiṃ	इमस्मिं
Imassa	इमस्स
Imassāpi	इमस्सापि
Imañhi	इमञ्हि
Imaṃ	इमं
Ime	इमे
Imehi	इमेहि
Imesu	इमेसु
Iminā	इमिना
Imāni	इमानि
Indriyavibhaṅge	इन्द्रियविभङ्गे
Itaraṃ	इतरं
Iti	इति
Ito	इतो
Itthibhāvaṃ	इत्थिभावं
Jalitvā	जलित्वा
Jambudīpā	जम्बुदीपा
Jhānavibhaṅgo	झानविभङ्गो
Jotayitvāna	जोतयित्वान
Jātidhammo	जातिधम्मो
Jāyamānā	जायमाना
Kadā	कदा
Kakusandhassa	ककुसन्धस्स
Kalale	कलले
Kammaṭṭhānāni	कम्मट्ठानानि
Kappe	कप्पे
Karuṇā	करुणा
Kasmā	कस्मा
Kassa	कस्स
Kassaci	कस्सचि
Kassatthāya	कस्सत्थाय
Katamo	कतमो
Katamā	कतमा
Kataraṃ	कतरं
Katañjalī	कतञ्जली
Kathaṃ	कथं
Kathāvatthunāva	कथावत्थुनाव
Kattha	कत्थ
Kañci	कञ्चि
Ke	के
Kehi	केहि
Kena	केन
Kenābhato	केनाभतो
Kenābhatoti	केनाभतोति
Kenādhigato	केनाधिगतो
Kesamassūhi	केसमस्सूहि
Kese	केसे
Kevalañhettha	केवलञ्हेत्थ
Kevalañhi	केवलञ्हि
Khandhānañca	खन्धानञ्च
Khantipāramitaṃ	खन्तिपारमितं
Khantivādījātake	खन्तिवादीजातके
Khaṇena	खणेन
Khemā	खेमा
Khuddakapāṭhadhammapadaudānaitivuttakasuttanipātavimānavatthupetavatthutheragāthātherīgāthājātakaniddesapaṭisambhidāapadānabuddhavaṃsacariyāpiṭakavasena	खुद्दकपाठधम्मपदउदानइतिवुत्तकसुत्तनिपातविमानवत्थुपेतवत्थुथेरगाथाथेरीगाथाजातकनिद्देसपटिसम्भिदाअपदानबुद्धवंसचरियापिटकवसेन
Khuddakavatthuvibhaṅgopi	खुद्दकवत्थुविभङ्गोपि
Khādatha	खादथ
Khīṇāsavehi	खीणासवेहि
Khīṇāsavā	खीणासवा
Kimatthaṃ	किमत्थं
Kisāgotamiyā	किसागोतमिया
Kiṃ	किं
Kolito	कोलितो
Koṇe	कोणे
Koṇḍaññabuddhassa	कोण्डञ्ञबुद्धस्स
Koṭisatasahassasaṅkhyānaṃ	कोटिसतसहस्ससङ्ख्यानं
Koṭisatasahassānaṃ	कोटिसतसहस्सानं
Kulāni	कुलानि
Kusalattikādayo	कुसलत्तिकादयो
Kuṭṭā	कुट्टा
Kālo	कालो
Kāsirāje	कासिराजे
Kāyikavācasikaajjhācāranisedhanato	कायिकवाचसिकअज्झाचारनिसेधनतो
Lakkhaṇe	लक्खणे
Latā	लता
Lomahaṃsajātake	लोमहंसजातके
Madhupiṇḍikasuttantasmiñhi	मधुपिण्डिकसुत्तन्तस्मिञ्हि
Mahaggatā	महग्गता
Mahantaṃ	महन्तं
Mahesakkhā	महेसक्खा
Mahesinā	महेसिना
Mahābodhipallaṅkasmiñhi	महाबोधिपल्लङ्कस्मिञ्हि
Mahādhammahadayaṃ	महाधम्महदयं
Mahādhammahadaye	महाधम्महदये
Mahādhātukathāyaṃ	महाधातुकथायं
Mahāgosiṅgasuttaṃ	महागोसिङ्गसुत्तं
Mahāhanusabhakkhandho	महाहनुसभक्खन्धो
Mahājanā	महाजना
Mahānādaṃ	महानादं
Mahāpakaraṇe	महापकरणे
Mahāpurisassa	महापुरिसस्स
Mahāpuriso	महापुरिसो
Mahārajjaṃ	महारज्जं
Mahāsamuddo	महासमुद्दो
Mahāsatto	महासत्तो
Mahāsutasomajātake	महासुतसोमजातके
Mahāvihāravāsīnaṃ	महाविहारवासीनं
Mahāvātā	महावाता
Majjhimappamāṇāni	मज्झिमप्पमाणानि
Mama	मम
Manussattaṃ	मनुस्सत्तं
Manussāyeva	मनुस्सायेव
Mayampetaṃ	मयम्पेतं
Mañjiṭṭhapabhassarā	मञ्जिट्ठपभस्सरा
Maṃsalohitehi	मंसलोहितेहि
Maṅgalassa	मङ्गलस्स
Maṇḍalārāmavāsī	मण्डलारामवासी
Mettābalenupatthaddho	मेत्ताबलेनुपत्थद्धो
Mettāpāramitaṃ	मेत्तापारमितं
Mettāya	मेत्ताय
Micchādiṭṭhiṃ	मिच्छादिट्ठिं
Mocayitvāna	मोचयित्वान
Mocesiṃ	मोचेसिं
Moggaliputtatissattheropi	मोग्गलिपुत्ततिस्सत्थेरोपि
Mudusamatale	मुदुसमतले
Muttā	मुत्ता
Mā	मा
Mānussakā	मानुस्सका
Mātaraṃ	मातरं
Mātā	माता
Mūgapakkhajātake	मूगपक्खजातके
Mūlapariyāyasuttādidiyaḍḍhasatadvesuttasaṅgaho	मूलपरियायसुत्तादिदियड्ढसतद्वेसुत्तसङ्गहो
Mūlato	मूलतो
Na	न
Nagaraṃ	नगरं
Nagare	नगरे
Nahevaṃ	नहेवं
Namo	नमो
Nandā	नन्दा
Nanu	ननु
Narā	नरा
Nava	नव
Navadosamupāgata	नवदोसमुपागत
Navutikoṭisahassehi	नवुतिकोटिसहस्सेहि
Navutikoṭisahassānaṃ	नवुतिकोटिसहस्सानं
Navutivassasahassāni	नवुतिवस्ससहस्सानि
Nekkhammaninnā	नेक्खम्मनिन्ना
Nekkhammapāramitaṃ	नेक्खम्मपारमितं
Nekkhammābhimukho	नेक्खम्माभिमुखो
Nerañjarāya	नेरञ्जराय
Nibbutā	निब्बुता
Nidānakathā	निदानकथा
Nijjhāmataṇhā	निज्झामतण्हा
Nikkhepakaṇḍa	निक्खेपकण्ड
Nikkhipitvā	निक्खिपित्वा
Nikāyantaraladdhīhi	निकायन्तरलद्धीहि
Nikāyo	निकायो
Nimittāni	निमित्तानि
Nipaccakārassetassa	निपच्चकारस्सेतस्स
Nirayepi	निरयेपि
No	नो
Nāhaṃ	नाहं
Nāmaṃ	नामं
Nānānayavicittassa	नानानयविचित्तस्स
Nāradabuddhassa	नारदबुद्धस्स
Nāthānāthānaṃ	नाथानाथानं
Oghataraṇasuttādisattasuttasahassasattasatadvāsaṭṭhisuttasaṅgaho	ओघतरणसुत्तादिसत्तसुत्तसहस्ससत्तसतद्वासट्ठिसुत्तसङ्गहो
Olokentassevassa	ओलोकेन्तस्सेवस्स
Orohitvāna	ओरोहित्वान
Pabbajitvā	पब्बजित्वा
Pabbajjā	पब्बज्जा
Pabhā	पभा
Paccantadesavisaye	पच्चन्तदेसविसये
Paccanīyapaṭṭhānepi	पच्चनीयपट्ठानेपि
Paccayavasena	पच्चयवसेन
Paccayākāravibhaṅgo	पच्चयाकारविभङ्गो
Pacchābhattaṃ	पच्छाभत्तं
Paccuggamanā	पच्चुग्गमना
Padhānaṃ	पधानं
Padumassa	पदुमस्स
Padumuttarassa	पदुमुत्तरस्स
Padānukkamato	पदानुक्कमतो
Pahāyimaṃ	पहायिमं
Pakaraṇaparicchedato	पकरणपरिच्छेदतो
Pallaṅkena	पल्लङ्केन
Pallaṅkābhujane	पल्लङ्काभुजने
Paribhuñjantassa	परिभुञ्जन्तस्स
Pariggahakaraṇābhāvo	परिग्गहकरणाभावो
Parirakkha	परिरक्ख
Pariyattibhedaṃ	परियत्तिभेदं
Pariyattipi	परियत्तिपि
Pariyesissāmi	परियेसिस्सामि
Pariyosānadivase	परियोसानदिवसे
Passatha	पस्सथ
Pathavisandhārakaṃ	पथविसन्धारकं
Pathaviyaṃ	पथवियं
Pavedhamānā	पवेधमाना
Pañcadosavivajjita	पञ्चदोसविवज्जित
Paññāpāramitaṃ	पञ्ञापारमितं
Paññāya	पञ्ञाय
Paṇḍito	पण्डितो
Paṇṇasālā	पण्णसाला
Paṇṇasālāparibhogasmiñhi	पण्णसालापरिभोगस्मिञ्हि
Paṭhamasannipāte	पठमसन्निपाते
Paṭhame	पठमे
Paṭhamābhisamaye	पठमाभिसमये
Paṭibalo	पटिबलो
Paṭijagganeneva	पटिजग्गनेनेव
Paṭivedho	पटिवेधो
Paṭiyattavaramaggena	पटियत्तवरमग्गेन
Paṭṭhāna	पट्ठान
Phasso	फस्सो
Pitā	पिता
Pitāpi	पितापि
Piyadassissāpi	पियदस्सिस्सापि
Piṭakaṃ	पिटकं
Pubbakehi	पुब्बकेहि
Puna	पुन
Punapariyesanāya	पुनपरियेसनाय
Puthulato	पुथुलतो
Puṇṇamāye	पुण्णमाये
Pāpuṇāti	पापुणाति
Pāramiyo	पारमियो
Pāricchattakamūlamhi	पारिच्छत्तकमूलम्हि
Pāṭihīrāvasānamhi	पाटिहीरावसानम्हि
Pītiyā	पीतिया
Rahogato	रहोगतो
Rajo	रजो
Rogo	रोगो
Rogā	रोगा
Rukkhapathavīpabbatasamuddādayo	रुक्खपथवीपब्बतसमुद्दादयो
Rāhumutto	राहुमुत्तो
Rājābhirājā	राजाभिराजा
Rājārahabhaṇḍatāya	राजारहभण्डताय
Rūpakaṇḍa	रूपकण्ड
Rūpārammaṇaṃ	रूपारम्मणं
Sabbacakkavāḷesu	सब्बचक्कवाळेसु
Sabbameva	सब्बमेव
Sabbampi	सब्बम्पि
Sabbattha	सब्बत्थ
Sabbaññutaññāṇaṃ	सब्बञ्ञुतञ्ञाणं
Sabbaññutaṃ	सब्बञ्ञुतं
Sabbaṃ	सब्बं
Sabbe	सब्बे
Sabbepi	सब्बेपि
Sabbo	सब्बो
Sabbā	सब्बा
Sabbītiyo	सब्बीतियो
Saccapāramitaṃ	सच्चपारमितं
Saccavācaṃ	सच्चवाचं
Saddhammañcassa	सद्धम्मञ्चस्स
Sadevakaṃ	सदेवकं
Saha	सह
Sakalampi	सकलम्पि
Sakalaraṭṭhavāsino	सकलरट्ठवासिनो
Sakalaṃ	सकलं
Sakkhissāmi	सक्खिस्सामि
Sakko	सक्को
Samaye	समये
Samaṃ	समं
Samiddhaṃ	समिद्धं
Sammāsambuddhassa	सम्मासम्बुद्धस्स
Sammāsambuddhena	सम्मासम्बुद्धेन
Sammāsambuddho	सम्मासम्बुद्धो
Sammāsambuddhova	सम्मासम्बुद्धोव
Samokiranti	समोकिरन्ति
Samādayitvā	समादयित्वा
Samūhanivāsā	समूहनिवासा
Sannipātā	सन्निपाता
Sannisinnena	सन्निसिन्नेन
Saraṇāgamane	सरणागमने
Satasahassavassāni	सतसहस्सवस्सानि
Sataṃ	सतं
Satipaṭṭhānavibhaṅgo	सतिपट्ठानविभङ्गो
Satta	सत्त
Sattannaṃ	सत्तन्नं
Sattapaññāsasuttāni	सत्तपञ्ञाससुत्तानि
Sattappakaraṇānīti	सत्तप्पकरणानीति
Sattaratanasampannaṃ	सत्तरतनसम्पन्नं
Satthu	सत्थु
Satthā	सत्था
Satthāpi	सत्थापि
Savati	सवति
Sayaṃ	सयं
Sañcuṇṇamathitā	सञ्चुण्णमथिता
Saṃsaraṃ	संसरं
Saṃsārasotaṃ	संसारसोतं
Saṅghanavakabhikkhunā	सङ्घनवकभिक्खुना
Saṅgītikāle	सङ्गीतिकाले
Saṅgītipariyosāne	सङ्गीतिपरियोसाने
Saṅgītā	सङ्गीता
Saṇhasukhumadhammaṃ	सण्हसुखुमधम्मं
Sekkhā	सेक्खा
Sesaṭṭhānesu	सेसट्ठानेसु
Sikhissāpi	सिखिस्सापि
Sikkhāpadavibhaṅgepi	सिक्खापदविभङ्गेपि
Sikkhāpahānagambhīrabhāvañca	सिक्खापहानगम्भीरभावञ्च
Silāsane	सिलासने
So	सो
Sobhati	सोभति
Somanassañāṇamayikagāthāppaṭisaṃyuttā	सोमनस्सञाणमयिकगाथाप्पटिसंयुत्ता
Sopajja	सोपज्ज
Sopi	सोपि
Sotavekallatā	सोतवेकल्लता
Suddhāvāsesu	सुद्धावासेसु
Suggahitattā	सुग्गहितत्ता
Sukhena	सुखेन
Sumaṅgalo	सुमङ्गलो
Sumedhakathā	सुमेधकथा
Sumedhapaṇḍito	सुमेधपण्डितो
Sumedhassa	सुमेधस्स
Sumedhassāpi	सुमेधस्सापि
Sumedhā	सुमेधा
Supupphitaṃ	सुपुप्फितं
Susāne	सुसाने
Suttantañca	सुत्तन्तञ्च
Suttantañhi	सुत्तन्तञ्हि
Suttantaṃ	सुत्तन्तं
Suttante	सुत्तन्ते
Suttasabhāgañcetaṃ	सुत्तसभागञ्चेतं
Sutte	सुत्ते
Suttāṇā	सुत्ताणा
Suvuttā	सुवुत्ता
Suṭṭhu	सुट्ठु
Svātanāya	स्वातनाय
Svāyaṃ	स्वायं
Sā	सा
Sādhu	साधु
Sāgato	सागतो
Sāmī	सामी
Sāpi	सापि
Sāriputta	सारिपुत्त
Sāriputtattheropi	सारिपुत्तत्थेरोपि
Sāvatthivāsīnaṃ	सावत्थिवासीनं
Sāyaṃ	सायं
Sāṭakaṃ	साटकं
Sīho	सीहो
Sīlapāramitaṃ	सीलपारमितं
Sīlapāramiñca	सीलपारमिञ्च
Sītaṃ	सीतं
Sūdati	सूदति
Sūlehipi	सूलेहिपि
Sūriyova	सूरियोव
Tadanantaraṃ	तदनन्तरं
Tadaññaṃ	तदञ्ञं
Tadā	तदा
Tampajjubbhijjate	तम्पज्जुब्भिज्जते
Tampi	तम्पि
Tasmiṃ	तस्मिं
Tasmā	तस्मा
Tassa	तस्स
Tassāpi	तस्सापि
Tatheva	तथेव
Tathevimaṃ	तथेविमं
Tathā	तथा
Tatiye	ततिये
Tato	ततो
Tatra	तत्र
Tatridaṃ	तत्रिदं
Tatrime	तत्रिमे
Tatrāyaṃ	तत्रायं
Tattha	तत्थ
Tatthappadhānaṃ	तत्थप्पधानं
Tatuddhaṃ	ततुद्धं
Tayo	तयो
Tañhi	तञ्हि
Taṃ	तं
Te	ते
Tehi	तेहि
Telayante	तेलयन्ते
Temāsaṃ	तेमासं
Tena	तेन
Tenetametassa	तेनेतमेतस्स
Tenāha	तेनाह
Tenāyaṃ	तेनायं
Tepajja	तेपज्ज
Tepajjubho	तेपज्जुभो
Tepi	तेपि
Tepiṭakaṃ	तेपिटकं
Tesaṃ	तेसं
Tesu	तेसु
Thaddhavisamabhūmibhāgasmiñhi	थद्धविसमभूमिभागस्मिञ्हि
Thalajā	थलजा
Therassa	थेरस्स
Therassāpi	थेरस्सापि
Thero	थेरो
Tikatikañceva	तिकतिकञ्चेव
Tikañca	तिकञ्च
Tike	तिके
Tiriyabhāgehi	तिरियभागेहि
Tisahassimahāsahassilokadhātuyā	तिसहस्सिमहासहस्सिलोकधातुया
Tissassa	तिस्सस्स
Tisso	तिस्सो
Tivaggasaṅgahāni	तिवग्गसङ्गहानि
Tiṇalatādigahanacchanne	तिणलतादिगहनच्छन्ने
Tiṇapaṇṇamattikāsu	तिणपण्णमत्तिकासु
Tulābhūto	तुलाभूतो
Tusitapurato	तुसितपुरतो
Tuṭṭhahaṭṭho	तुट्ठहट्ठो
Tvaṃ	त्वं
Tāni	तानि
Tānipajja	तानिपज्ज
Tāpasapabbajjaṃ	तापसपब्बज्जं
Tārāgaṇā	तारागणा
Tāvadeva	तावदेव
Tāvatā	तावता
Tīsupi	तीसुपि
Ubbiggā	उब्बिग्गा
Ubhinnamantare	उभिन्नमन्तरे
Ubhinnampi	उभिन्नम्पि
Ubhopi	उभोपि
Udakaṃ	उदकं
Uddhaṃ	उद्धं
Ukkuṭṭhisaddā	उक्कुट्ठिसद्दा
Upagacchuṃ	उपगच्छुं
Uparibhāgena	उपरिभागेन
Upekkhati	उपेक्खति
Upekkhāpāramitaṃ	उपेक्खापारमितं
Upeti	उपेति
Uppajjante	उप्पज्जन्ते
Upāgamiṃ	उपागमिं
Ussīsake	उस्सीसके
Uttarimanussadhammapeyyālaṃ	उत्तरिमनुस्सधम्मपेय्यालं
Uttarā	उत्तरा
Vamate	वमते
Vasamānāpi	वसमानापि
Vasībhūto	वसीभूतो
Vedajātaṃ	वेदजातं
Vedayanti	वेदयन्ति
Vemātikabhātā	वेमातिकभाता
Vibhaṅgappakaraṇaṃ	विभङ्गप्पकरणं
Vicinanto	विचिनन्तो
Vicittapupphā	विचित्तपुप्फा
Vidhūpayaṃ	विधूपयं
Vimalo	विमलो
Vinayadharabhikkhūnañhi	विनयधरभिक्खूनञ्हि
Vinayamattameva	विनयमत्तमेव
Vinayamattassapi	विनयमत्तस्सपि
Vinayapiṭake	विनयपिटके
Vinayatthavidūhi	विनयत्थविदूहि
Vinayañca	विनयञ्च
Vinaye	विनये
Visayato	विसयतो
Visaṅkhāragataṃ	विसङ्खारगतं
Visesena	विसेसेन
Vissatthā	विस्सत्था
Visuddhimagge	विसुद्धिमग्गे
Visuddhācārasīlena	विसुद्धाचारसीलेन
Visākhā	विसाखा
Vitathaṃ	वितथं
Vitaṇḍavādī	वितण्डवादी
Vitthārikaṃ	वित्थारिकं
Vitthāriyamānaṃ	वित्थारियमानं
Vitthāro	वित्थारो
Vividhavisesanayattā	विविधविसेसनयत्ता
