1	១
Cūḷavedallamahāvedallasammādiṭṭhisakkapañhasaṅkhārabhājanīyamahāpuṇṇamasuttādayo	ចូឡវេទល្លមហាវេទល្លសម្មាទិដ្ឋិសក្កបញ្ហសង្ខារភាជនីយមហាបុណ្ណមសុត្តាទយោ
Dabbasambhāre	ទព្ពសម្ភារេ
Dadāhi	ទទាហិ
Dasahi	ទសហិ
Dasasahassilokamhi	ទសសហស្សិលោកម្ហិ
Dasasahassī	ទសសហស្សី
Dasavidho	ទសវិធោ
Dasavīsasahassānaṃ	ទសវីសសហស្សានំ
Dassanaṃ	ទស្សនំ
Dayāya	ទយាយ
Daḷhaṃ	ទឡ្ហំ
Desanā	ទេសនា
Desanānidānaṃ	ទេសនានិទានំ
Desanāsāsanakathābhedaṃ	ទេសនាសាសនកថាភេទំ
Devatā	ទេវតា
Devatāsaṃyuttādivasena	ទេវតាសំយុត្តាទិវសេន
Devā	ទេវា
Dhammahadayavibhaṅgo	ធម្មហទយវិភង្គោ
Dhammanāvaṃ	ធម្មនាវំ
Dhammapadabhāṇakā	ធម្មបទភាណកា
Dhammapadaṃ	ធម្មបទំ
Dhammappaṭiggāhakā	ធម្មប្បដិគ្គាហកា
Dhammasaṅgaṇīaṭṭhakathā	ធម្មសង្គណីអដ្ឋកថា
Dhammasaṅgaṇīādīni	ធម្មសង្គណីអាទីនិ
Dhammasenāpatisāriputtattherappabhavā	ធម្មសេនាបតិសារិបុត្តត្ថេរប្បភវា
Dhammasenāpatisāriputtattheropi	ធម្មសេនាបតិសារិបុត្តត្ថេរោបិ
Dhammatejena	ធម្មតេជេន
Dhammaṃ	ធម្មំ
Dhamme	ធម្មេ
Dhammo	ធម្មោ
Dhammātirekadhammavisesaṭṭhena	ធម្មាតិរេកធម្មវិសេសដ្ឋេន
Dhunanto	ធុនន្តោ
Dibbasaṅgītivattanakālo	ទិព្ពសង្គីតិវត្តនកាលោ
Dibbaṃ	ទិព្ពំ
Disodisaṃ	ទិសោទិសំ
Divā	ទិវា
Diyaḍḍhasatasuttantā	ទិយឌ្ឍសតសុត្តន្តា
Duggahitattā	ទុគ្គហិតត្តា
Dukasataṃ	ទុកសតំ
Dukatikañceva	ទុកតិកញ្ចេវ
Duke	ទុកេ
Dukkho	ទុក្ខោ
Dutiye	ទុតិយេ
Dutiyābhisamaye	ទុតិយាភិសមយេ
Dvepi	ទ្វេបិ
Dvādasaguṇamupāgata	ទ្វាទសគុណមុបាគត
Dvādasapadikaṃ	ទ្វាទសបទិកំ
Dvādasaterasayojanappamāṇaṃ	ទ្វាទសតេរសយោជនប្បមាណំ
Dvādasaterasayojanappamāṇo	ទ្វាទសតេរសយោជនប្បមាណោ
Dvādasāyatanāni	ទ្វាទសាយតនានិ
Dvāsaṭṭhi	ទ្វាសដ្ឋិ
Dvāsīti	ទ្វាសីតិ
Dvāvīsatitike	ទ្វាវីសតិតិកេ
Dānapāramitaṃ	ទានបារមិតំ
Dānena	ទានេន
Dīghappamāṇānaṃ	ទីឃប្បមាណានំ
Dīpaṅkarassa	ទីបង្ករស្ស
Dīpaṅkaraṃ	ទីបង្ករំ
Dīpaṅkaro	ទីបង្ករោ
Ekadvinnaṃ	ឯកទ្វិន្នំ
Ekamekasmiñcettha	ឯកមេកស្មិញ្ចេត្ថ
Ekantena	ឯកន្តេន
Ekarājajātake	ឯករាជជាតកេ
Ekaṃ	ឯកំ
Ekekaaṅgātirekavasena	ឯកេកអង្គាតិរេកវសេន
Ekuttariyaṃ	ឯកុត្តរិយំ
Esa	ឯស
Eso	ឯសោ
Esānisaṃso	ឯសានិសំសោ
Ettakaṃ	ឯត្តកំ
Ettakesu	ឯត្តកេសុ
Ettako	ឯត្តកោ
Ettakāyeva	ឯត្តកាយេវ
Ettha	ឯត្ថ
Ettāvatā	ឯត្តាវតា
Evamassa	ឯវមស្ស
Evametaṃ	ឯវមេតំ
Evametesu	ឯវមេតេសុ
Evameva	ឯវមេវ
Evamevāhaṃ	ឯវមេវាហំ
Evampi	ឯវម្បិ
Evamādīni	ឯវមាទីនិ
Evaṃ	ឯវំ
Evāhaṃ	ឯវាហំ
Gahakāraka	គហការក
Gahakāraṃ	គហការំ
Gahetabbaṃ	គហេតព្ពំ
Gambhīraṃ	គម្ភីរំ
Ganthārambhakathā	គន្ថារម្ភកថា
Gavapānanti	គវបានន្តិ
Ghaṭānekasahassāni	ឃដានេកសហស្សានិ
Gāmavāsī	គាមវាសី
Gāmaṇḍalā	គាមណ្ឌលា
Gāthābandhesu	គាថាពន្ធេសុ
Handa	ហន្ទ
Hatthisaddaṃ	ហត្ថិសទ្ទំ
Haṭṭhatuṭṭhena	ហដ្ឋតុដ្ឋេន
Heṭṭhā	ហេដ្ឋា
Himavantassāvidūre	ហិមវន្តស្សាវិទូរេ
Icchamāno	ឥច្ឆមានោ
Idaṃ	ឥទំ
Idha	ឥធ
Idāni	ឥទានិ
Imasmiṃ	ឥមស្មិំ
Imassa	ឥមស្ស
Imassāpi	ឥមស្សាបិ
Imañhi	ឥមញ្ហិ
Imaṃ	ឥមំ
Ime	ឥមេ
Imehi	ឥមេហិ
Imesu	ឥមេសុ
Iminā	ឥមិនា
Imāni	ឥមានិ
Indriyavibhaṅge	ឥន្ទ្រិយវិភង្គេ
Itaraṃ	ឥតរំ
Iti	ឥតិ
Ito	ឥតោ
Itthibhāvaṃ	ឥត្ថិភាវំ
Jalitvā	ជលិត្វា
Jambudīpā	ជម្ពុទីបា
Jhānavibhaṅgo	ឈានវិភង្គោ
Jotayitvāna	ជោតយិត្វាន
Jātidhammo	ជាតិធម្មោ
Jāyamānā	ជាយមានា
Kadā	កទា
Kakusandhassa	កកុសន្ធស្ស
Kalale	កលលេ
Kammaṭṭhānāni	កម្មដ្ឋានានិ
Kappe	កប្បេ
Karuṇā	ករុណា
Kasmā	កស្មា
Kassa	កស្ស
Kassaci	កស្សចិ
Kassatthāya	កស្សត្ថាយ
Katamo	កតមោ
Katamā	កតមា
Kataraṃ	កតរំ
Katañjalī	កតញ្ជលី
Kathaṃ	កថំ
Kathāvatthunāva	កថាវត្ថុនាវ
Kattha	កត្ថ
Kañci	កញ្ចិ
Ke	កេ
Kehi	កេហិ
Kena	កេន
Kenābhato	កេនាភតោ
Kenābhatoti	កេនាភតោតិ
Kenādhigato	កេនាធិគតោ
Kesamassūhi	កេសមស្សូហិ
Kese	កេសេ
Kevalañhettha	កេវលញ្ហេត្ថ
Kevalañhi	កេវលញ្ហិ
Khandhānañca	ខន្ធានញ្ច
Khantipāramitaṃ	ខន្តិបារមិតំ
Khantivādījātake	ខន្តិវាទីជាតកេ
Khaṇena	ខណេន
Khemā	ខេមា
Khuddakapāṭhadhammapadaudānaitivuttakasuttanipātavimānavatthupetavatthutheragāthātherīgāthājātakaniddesapaṭisambhidāapadānabuddhavaṃsacariyāpiṭakavasena	ខុទ្ទកបាឋធម្មបទឧទានឥតិវុត្តកសុត្តនិបាតវិមានវត្ថុបេតវត្ថុថេរគាថាថេរីគាថាជាតកនិទ្ទេសបដិសម្ភិទាអបទានពុទ្ធវំសចរិយាបិដកវសេន
Khuddakavatthuvibhaṅgopi	ខុទ្ទកវត្ថុវិភង្គោបិ
Khādatha	ខាទថ
Khīṇāsavehi	ខីណាសវេហិ
Khīṇāsavā	ខីណាសវា
Kimatthaṃ	កិមត្ថំ
Kisāgotamiyā	កិសាគោតមិយា
Kiṃ	កិំ
Kolito	កោលិតោ
Koṇe	កោណេ
Koṇḍaññabuddhassa	កោណ្ឌញ្ញពុទ្ធស្ស
Koṭisatasahassasaṅkhyānaṃ	កោដិសតសហស្សសង្ខ្យានំ
Koṭisatasahassānaṃ	កោដិសតសហស្សានំ
Kulāni	កុលានិ
Kusalattikādayo	កុសលត្តិកាទយោ
Kuṭṭā	កុដ្ដា
Kālo	កាលោ
Kāsirāje	កាសិរាជេ
Kāyikavācasikaajjhācāranisedhanato	កាយិកវាចសិកអជ្ឈាចារនិសេធនតោ
Lakkhaṇe	លក្ខណេ
Latā	លតា
Lomahaṃsajātake	លោមហំសជាតកេ
Madhupiṇḍikasuttantasmiñhi	មធុបិណ្ឌិកសុត្តន្តស្មិញ្ហិ
Mahaggatā	មហគ្គតា
Mahantaṃ	មហន្តំ
Mahesakkhā	មហេសក្ខា
Mahesinā	មហេសិនា
Mahābodhipallaṅkasmiñhi	មហាពោធិបល្លង្កស្មិញ្ហិ
Mahādhammahadayaṃ	មហាធម្មហទយំ
Mahādhammahadaye	មហាធម្មហទយេ
Mahādhātukathāyaṃ	មហាធាតុកថាយំ
Mahāgosiṅgasuttaṃ	មហាគោសិង្គសុត្តំ
Mahāhanusabhakkhandho	មហាហនុសភក្ខន្ធោ
Mahājanā	មហាជនា
Mahānādaṃ	មហានាទំ
Mahāpakaraṇe	មហាបករណេ
Mahāpurisassa	មហាបុរិសស្ស
Mahāpuriso	មហាបុរិសោ
Mahārajjaṃ	មហារជ្ជំ
Mahāsamuddo	មហាសមុទ្ទោ
Mahāsatto	មហាសត្តោ
Mahāsutasomajātake	មហាសុតសោមជាតកេ
Mahāvihāravāsīnaṃ	មហាវិហារវាសីនំ
Mahāvātā	មហាវាតា
Majjhimappamāṇāni	មជ្ឈិមប្បមាណានិ
Mama	មម
Manussattaṃ	មនុស្សត្តំ
Manussāyeva	មនុស្សាយេវ
Mayampetaṃ	មយម្បេតំ
Mañjiṭṭhapabhassarā	មញ្ជិដ្ឋបភស្សរា
Maṃsalohitehi	មំសលោហិតេហិ
Maṅgalassa	មង្គលស្ស
Maṇḍalārāmavāsī	មណ្ឌលារាមវាសី
Mettābalenupatthaddho	មេត្តាពលេនុបត្ថទ្ធោ
Mettāpāramitaṃ	មេត្តាបារមិតំ
Mettāya	មេត្តាយ
Micchādiṭṭhiṃ	មិច្ឆាទិដ្ឋិំ
Mocayitvāna	មោចយិត្វាន
Mocesiṃ	មោចេសិំ
Moggaliputtatissattheropi	មោគ្គលិបុត្តតិស្សត្ថេរោបិ
Mudusamatale	មុទុសមតលេ
Muttā	មុត្តា
Mā	មា
Mānussakā	មានុស្សកា
Mātaraṃ	មាតរំ
Mātā	មាតា
Mūgapakkhajātake	មូគបក្ខជាតកេ
Mūlapariyāyasuttādidiyaḍḍhasatadvesuttasaṅgaho	មូលបរិយាយសុត្តាទិទិយឌ្ឍសតទ្វេសុត្តសង្គហោ
Mūlato	មូលតោ
Na	ន
Nagaraṃ	នគរំ
Nagare	នគរេ
Nahevaṃ	នហេវំ
Namo	នមោ
Nandā	នន្ទា
Nanu	ននុ
Narā	នរា
Nava	នវ
Navadosamupāgata	នវទោសមុបាគត
Navutikoṭisahassehi	នវុតិកោដិសហស្សេហិ
Navutikoṭisahassānaṃ	នវុតិកោដិសហស្សានំ
Navutivassasahassāni	នវុតិវស្សសហស្សានិ
Nekkhammaninnā	នេក្ខម្មនិន្នា
Nekkhammapāramitaṃ	នេក្ខម្មបារមិតំ
Nekkhammābhimukho	នេក្ខម្មាភិមុខោ
Nerañjarāya	នេរញ្ជរាយ
Nibbutā	និព្ពុតា
Nidānakathā	និទានកថា
Nijjhāmataṇhā	និជ្ឈាមតណ្ហា
Nikkhepakaṇḍa	និក្ខេបកណ្ឌ
Nikkhipitvā	និក្ខិបិត្វា
Nikāyantaraladdhīhi	និកាយន្តរលទ្ធីហិ
Nikāyo	និកាយោ
Nimittāni	និមិត្តានិ
Nipaccakārassetassa	និបច្ចការស្សេតស្ស
Nirayepi	និរយេបិ
No	នោ
Nāhaṃ	នាហំ
Nāmaṃ	នាមំ
Nānānayavicittassa	នានានយវិចិត្តស្ស
Nāradabuddhassa	នារទពុទ្ធស្ស
Nāthānāthānaṃ	នាថានាថានំ
Oghataraṇasuttādisattasuttasahassasattasatadvāsaṭṭhisuttasaṅgaho	ឱឃតរណសុត្តាទិសត្តសុត្តសហស្សសត្តសតទ្វាសដ្ឋិសុត្តសង្គហោ
Olokentassevassa	ឱលោកេន្តស្សេវស្ស
Orohitvāna	ឱរោហិត្វាន
Pabbajitvā	បព្ពជិត្វា
Pabbajjā	បព្ពជ្ជា
Pabhā	បភា
Paccantadesavisaye	បច្ចន្តទេសវិសយេ
Paccanīyapaṭṭhānepi	បច្ចនីយបដ្ឋានេបិ
Paccayavasena	បច្ចយវសេន
Paccayākāravibhaṅgo	បច្ចយាការវិភង្គោ
Pacchābhattaṃ	បច្ឆាភត្តំ
Paccuggamanā	បច្ចុគ្គមនា
Padhānaṃ	បធានំ
Padumassa	បទុមស្ស
Padumuttarassa	បទុមុត្តរស្ស
Padānukkamato	បទានុក្កមតោ
Pahāyimaṃ	បហាយិមំ
Pakaraṇaparicchedato	បករណបរិច្ឆេទតោ
Pallaṅkena	បល្លង្កេន
Pallaṅkābhujane	បល្លង្កាភុជនេ
Paribhuñjantassa	បរិភុញ្ជន្តស្ស
Pariggahakaraṇābhāvo	បរិគ្គហករណាភាវោ
Parirakkha	បរិរក្ខ
Pariyattibhedaṃ	បរិយត្តិភេទំ
Pariyattipi	បរិយត្តិបិ
Pariyesissāmi	បរិយេសិស្សាមិ
Pariyosānadivase	បរិយោសានទិវសេ
Passatha	បស្សថ
Pathavisandhārakaṃ	បថវិសន្ធារកំ
Pathaviyaṃ	បថវិយំ
Pavedhamānā	បវេធមានា
Pañcadosavivajjita	បញ្ចទោសវិវជ្ជិត
Paññāpāramitaṃ	បញ្ញាបារមិតំ
Paññāya	បញ្ញាយ
Paṇḍito	បណ្ឌិតោ
Paṇṇasālā	បណ្ណសាលា
Paṇṇasālāparibhogasmiñhi	បណ្ណសាលាបរិភោគស្មិញ្ហិ
Paṭhamasannipāte	បឋមសន្និបាតេ
Paṭhame	បឋមេ
Paṭhamābhisamaye	បឋមាភិសមយេ
Paṭibalo	បដិពលោ
Paṭijagganeneva	បដិជគ្គនេនេវ
Paṭivedho	បដិវេធោ
Paṭiyattavaramaggena	បដិយត្តវរមគ្គេន
Paṭṭhāna	បដ្ឋាន
Phasso	ផស្សោ
Pitā	បិតា
Pitāpi	បិតាបិ
Piyadassissāpi	បិយទស្សិស្សាបិ
Piṭakaṃ	បិដកំ
Pubbakehi	បុព្ពកេហិ
Puna	បុន
Punapariyesanāya	បុនបរិយេសនាយ
Puthulato	បុថុលតោ
Puṇṇamāye	បុណ្ណមាយេ
Pāpuṇāti	បាបុណាតិ
Pāramiyo	បារមិយោ
Pāricchattakamūlamhi	បារិច្ឆត្តកមូលម្ហិ
Pāṭihīrāvasānamhi	បាដិហីរាវសានម្ហិ
Pītiyā	បីតិយា
Rahogato	រហោគតោ
Rajo	រជោ
Rogo	រោគោ
Rogā	រោគា
Rukkhapathavīpabbatasamuddādayo	រុក្ខបថវីបព្ពតសមុទ្ទាទយោ
Rāhumutto	រាហុមុត្តោ
Rājābhirājā	រាជាភិរាជា
Rājārahabhaṇḍatāya	រាជារហភណ្ឌតាយ
Rūpakaṇḍa	រូបកណ្ឌ
Rūpārammaṇaṃ	រូបារម្មណំ
Sabbacakkavāḷesu	សព្ពចក្កវាឡេសុ
Sabbameva	សព្ពមេវ
Sabbampi	សព្ពម្បិ
Sabbattha	សព្ពត្ថ
Sabbaññutaññāṇaṃ	សព្ពញ្ញុតញ្ញាណំ
Sabbaññutaṃ	សព្ពញ្ញុតំ
Sabbaṃ	សព្ពំ
Sabbe	សព្ពេ
Sabbepi	សព្ពេបិ
Sabbo	សព្ពោ
Sabbā	សព្ពា
Sabbītiyo	សព្ពីតិយោ
Saccapāramitaṃ	សច្ចបារមិតំ
Saccavācaṃ	សច្ចវាចំ
Saddhammañcassa	សទ្ធម្មញ្ចស្ស
Sadevakaṃ	សទេវកំ
Saha	សហ
Sakalampi	សកលម្បិ
Sakalaraṭṭhavāsino	សកលរដ្ឋវាសិនោ
Sakalaṃ	សកលំ
Sakkhissāmi	សក្ខិស្សាមិ
Sakko	សក្កោ
Samaye	សមយេ
Samaṃ	សមំ
Samiddhaṃ	សមិទ្ធំ
Sammāsambuddhassa	សម្មាសម្ពុទ្ធស្ស
Sammāsambuddhena	សម្មាសម្ពុទ្ធេន
Sammāsambuddho	សម្មាសម្ពុទ្ធោ
Sammāsambuddhova	សម្មាសម្ពុទ្ធោវ
Samokiranti	សមោកិរន្តិ
Samādayitvā	សមាទយិត្វា
Samūhanivāsā	សមូហនិវាសា
Sannipātā	សន្និបាតា
Sannisinnena	សន្និសិន្នេន
Saraṇāgamane	សរណាគមនេ
Satasahassavassāni	សតសហស្សវស្សានិ
Sataṃ	សតំ
Satipaṭṭhānavibhaṅgo	សតិបដ្ឋានវិភង្គោ
Satta	សត្ត
Sattannaṃ	សត្តន្នំ
Sattapaññāsasuttāni	សត្តបញ្ញាសសុត្តានិ
Sattappakaraṇānīti	សត្តប្បករណានីតិ
Sattaratanasampannaṃ	សត្តរតនសម្បន្នំ
Satthu	សត្ថុ
Satthā	សត្ថា
Satthāpi	សត្ថាបិ
Savati	សវតិ
Sayaṃ	សយំ
Sañcuṇṇamathitā	សញ្ចុណ្ណមថិតា
Saṃsaraṃ	សំសរំ
Saṃsārasotaṃ	សំសារសោតំ
Saṅghanavakabhikkhunā	សង្ឃនវកភិក្ខុនា
Saṅgītikāle	សង្គីតិកាលេ
Saṅgītipariyosāne	សង្គីតិបរិយោសានេ
Saṅgītā	សង្គីតា
Saṇhasukhumadhammaṃ	សណ្ហសុខុមធម្មំ
Sekkhā	សេក្ខា
Sesaṭṭhānesu	សេសដ្ឋានេសុ
Sikhissāpi	សិខិស្សាបិ
Sikkhāpadavibhaṅgepi	សិក្ខាបទវិភង្គេបិ
Sikkhāpahānagambhīrabhāvañca	សិក្ខាបហានគម្ភីរភាវញ្ច
Silāsane	សិលាសនេ
So	សោ
Sobhati	សោភតិ
Somanassañāṇamayikagāthāppaṭisaṃyuttā	សោមនស្សញាណមយិកគាថាប្បដិសំយុត្តា
Sopajja	សោបជ្ជ
Sopi	សោបិ
Sotavekallatā	សោតវេកល្លតា
Suddhāvāsesu	សុទ្ធាវាសេសុ
Suggahitattā	សុគ្គហិតត្តា
Sukhena	សុខេន
Sumaṅgalo	សុមង្គលោ
Sumedhakathā	សុមេធកថា
Sumedhapaṇḍito	សុមេធបណ្ឌិតោ
Sumedhassa	សុមេធស្ស
Sumedhassāpi	សុមេធស្សាបិ
Sumedhā	សុមេធា
Supupphitaṃ	សុបុប្ផិតំ
Susāne	សុសានេ
Suttantañca	សុត្តន្តញ្ច
Suttantañhi	សុត្តន្តញ្ហិ
Suttantaṃ	សុត្តន្តំ
Suttante	សុត្តន្តេ
Suttasabhāgañcetaṃ	សុត្តសភាគញ្ចេតំ
Sutte	សុត្តេ
Suttāṇā	សុត្តាណា
Suvuttā	សុវុត្តា
Suṭṭhu	សុដ្ឋុ
Svātanāya	ស្វាតនាយ
Svāyaṃ	ស្វាយំ
Sā	សា
Sādhu	សាធុ
Sāgato	សាគតោ
Sāmī	សាមី
Sāpi	សាបិ
Sāriputta	សារិបុត្ត
Sāriputtattheropi	សារិបុត្តត្ថេរោបិ
Sāvatthivāsīnaṃ	សាវត្ថិវាសីនំ
Sāyaṃ	សាយំ
Sāṭakaṃ	សាដកំ
Sīho	សីហោ
Sīlapāramitaṃ	សីលបារមិតំ
Sīlapāramiñca	សីលបារមិញ្ច
Sītaṃ	សីតំ
Sūdati	សូទតិ
Sūlehipi	សូលេហិបិ
Sūriyova	សូរិយោវ
Tadanantaraṃ	តទនន្តរំ
Tadaññaṃ	តទញ្ញំ
Tadā	តទា
Tampajjubbhijjate	តម្បជ្ជុព្ភិជ្ជតេ
Tampi	តម្បិ
Tasmiṃ	តស្មិំ
Tasmā	តស្មា
Tassa	តស្ស
Tassāpi	តស្សាបិ
Tatheva	តថេវ
Tathevimaṃ	តថេវិមំ
Tathā	តថា
Tatiye	តតិយេ
Tato	តតោ
Tatra	តត្រ
Tatridaṃ	តត្រិទំ
Tatrime	តត្រិមេ
Tatrāyaṃ	តត្រាយំ
Tattha	តត្ថ
Tatthappadhānaṃ	តត្ថប្បធានំ
Tatuddhaṃ	តតុទ្ធំ
Tayo	តយោ
Tañhi	តញ្ហិ
Taṃ	តំ
Te	តេ
Tehi	តេហិ
